Name,Latitude,Longitude,Time,Altitude,Description
0,-12.5434,121.592,17528.6432161,Vol Ash
1,-12.5434,121.592,17468.8442211,Vol Ash
2,-12.5434,121.592,17409.0452261,Vol Ash
3,-12.5434,121.592,17349.2462312,Vol Ash
4,-12.5434,121.592,17289.4472362,Vol Ash
5,-12.5434,121.592,17229.6482412,Vol Ash
6,-12.5434,121.592,17169.8492462,Vol Ash
7,-12.5434,121.592,17110.0502513,Vol Ash
8,-12.5434,121.592,17050.2512563,Vol Ash
9,-12.5434,121.592,16990.4522613,Vol Ash
10,4.39796,117.957,28816.6666667,Vol Ash
11,4.39796,117.957,28633.3333333,Vol Ash
12,4.39796,117.957,28450.0,Vol Ash
13,4.39796,117.957,28266.6666667,Vol Ash
14,4.39796,117.957,28083.3333333,Vol Ash
15,4.39796,117.957,27900.0,Vol Ash
16,4.39796,117.957,28816.6666667,Vol Ash
17,4.39796,117.957,28633.3333333,Vol Ash
18,4.39796,117.957,28450.0,Vol Ash
19,4.39796,117.957,28266.6666667,Vol Ash
20,4.39796,117.957,28083.3333333,Vol Ash
21,4.39796,117.957,27900.0,Vol Ash
22,4.39796,117.957,28816.6666667,Vol Ash
23,4.39796,117.957,28633.3333333,Vol Ash
24,4.39796,117.957,28450.0,Vol Ash
25,4.39796,117.957,28266.6666667,Vol Ash
26,4.39796,117.957,28083.3333333,Vol Ash
27,4.39796,117.957,27900.0,Vol Ash
28,4.44273,117.947,28816.6666667,Vol Ash
29,4.44273,117.947,28633.3333333,Vol Ash
30,4.44273,117.947,28450.0,Vol Ash
31,4.44273,117.947,28266.6666667,Vol Ash
32,4.44273,117.947,28083.3333333,Vol Ash
33,4.44273,117.947,27900.0,Vol Ash
34,4.44273,117.947,28816.6666667,Vol Ash
35,4.44273,117.947,28633.3333333,Vol Ash
36,4.44273,117.947,28450.0,Vol Ash
37,4.44273,117.947,28266.6666667,Vol Ash
38,4.44273,117.947,28083.3333333,Vol Ash
39,4.44273,117.947,27900.0,Vol Ash
40,4.44273,117.947,28816.6666667,Vol Ash
41,4.44273,117.947,28633.3333333,Vol Ash
42,4.44273,117.947,28450.0,Vol Ash
43,4.44273,117.947,28266.6666667,Vol Ash
44,4.44273,117.947,28083.3333333,Vol Ash
45,4.44273,117.947,27900.0,Vol Ash
46,4.4875,117.938,28816.6666667,Vol Ash
47,4.4875,117.938,28633.3333333,Vol Ash
48,4.4875,117.938,28450.0,Vol Ash
49,4.4875,117.938,28266.6666667,Vol Ash
50,4.4875,117.938,28083.3333333,Vol Ash
51,4.4875,117.938,27900.0,Vol Ash
52,4.4875,117.938,28816.6666667,Vol Ash
53,4.4875,117.938,28633.3333333,Vol Ash
54,4.4875,117.938,28450.0,Vol Ash
55,4.4875,117.938,28266.6666667,Vol Ash
56,4.4875,117.938,28083.3333333,Vol Ash
57,4.4875,117.938,27900.0,Vol Ash
58,4.4875,117.938,28816.6666667,Vol Ash
59,4.4875,117.938,28633.3333333,Vol Ash
60,4.4875,117.938,28450.0,Vol Ash
61,4.4875,117.938,28266.6666667,Vol Ash
62,4.4875,117.938,28083.3333333,Vol Ash
63,4.4875,117.938,27900.0,Vol Ash
64,4.53236,117.928,28816.6666667,Vol Ash
65,4.53236,117.928,28633.3333333,Vol Ash
66,4.53236,117.928,28450.0,Vol Ash
67,4.53236,117.928,28266.6666667,Vol Ash
68,4.53236,117.928,28083.3333333,Vol Ash
69,4.53236,117.928,27900.0,Vol Ash
70,4.53236,117.928,28816.6666667,Vol Ash
71,4.53236,117.928,28633.3333333,Vol Ash
72,4.53236,117.928,28450.0,Vol Ash
73,4.53236,117.928,28266.6666667,Vol Ash
74,4.53236,117.928,28083.3333333,Vol Ash
75,4.53236,117.928,27900.0,Vol Ash
76,4.53236,117.928,28816.6666667,Vol Ash
77,4.53236,117.928,28633.3333333,Vol Ash
78,4.53236,117.928,28450.0,Vol Ash
79,4.53236,117.928,28266.6666667,Vol Ash
80,4.53236,117.928,28083.3333333,Vol Ash
81,4.53236,117.928,27900.0,Vol Ash
82,6.6004,117.485,29916.6666667,Vol Ash
83,6.6004,117.485,29733.3333333,Vol Ash
84,6.6004,117.485,29550.0,Vol Ash
85,6.6004,117.485,29366.6666667,Vol Ash
86,6.6004,117.485,29183.3333333,Vol Ash
87,6.6004,117.485,29000.0,Vol Ash
88,6.6004,117.485,28816.6666667,Vol Ash
89,6.6004,117.485,29916.6666667,Vol Ash
90,6.6004,117.485,29733.3333333,Vol Ash
91,6.6004,117.485,29550.0,Vol Ash
92,6.6004,117.485,29366.6666667,Vol Ash
93,6.6004,117.485,29183.3333333,Vol Ash
94,6.6004,117.485,29000.0,Vol Ash
95,6.6004,117.485,28816.6666667,Vol Ash
96,6.6004,117.485,29916.6666667,Vol Ash
97,6.6004,117.485,29733.3333333,Vol Ash
98,6.6004,117.485,29550.0,Vol Ash
99,6.6004,117.485,29366.6666667,Vol Ash
100,6.6004,117.485,29183.3333333,Vol Ash
101,6.6004,117.485,29000.0,Vol Ash
102,6.6004,117.485,28816.6666667,Vol Ash
